Rang,Code INSEE,Commune,URL Wikipédia,Département,Statut,Région,Population 2023,Population 2017,Population 2012,Population 2007,Population 1999
159,94002,Alfortville,https://fr.wikipedia.org/wiki/Alfortville,Val-de-Marne,—,Île-de-France,45531,43881,44397,44116,36232
160,93053,Noisy-le-Sec,https://fr.wikipedia.org/wiki/Noisy-le-Sec,Seine-Saint-Denis,—,Île-de-France,45510,44136,40161,38802,37312
161,34301,Sète,https://fr.wikipedia.org/wiki/Sète,Hérault,—,Occitanie,45337,43229,44558,42972,39542
162,71076,Chalon-sur-Saône,https://fr.wikipedia.org/wiki/Chalon-sur-Saône,Saône-et-Loire,Sous-préfecture,Bourgogne-Franche-Comté,45102,45096,44564,46676,50124
163,92007,Bagneux,https://fr.wikipedia.org/wiki/Bagneux,Hauts-de-Seine,—,Île-de-France,44572,40918,38398,38592,37252
164,65440,Tarbes,https://fr.wikipedia.org/wiki/Tarbes,Hautes-Pyrénées,Préfecture,Occitanie,44399,41518,41664,44973,46275
165,22278,Saint-Brieuc,https://fr.wikipedia.org/wiki/Saint-Brieuc,Côtes-d'Armor,Préfecture,Bretagne,44364,44372,45936,46178,46087
166,13047,Istres,https://fr.wikipedia.org/wiki/Istres,Bouches-du-Rhône,Sous-préfecture,Provence-Alpes-Côte d'Azur,44292,43133,42944,42775,38993
167,13103,Salon-de-Provence,https://fr.wikipedia.org/wiki/Salon-de-Provence,Bouches-du-Rhône,—,Provence-Alpes-Côte d'Azur,44194,45528,43771,40943,37129
168,92062,Puteaux,https://fr.wikipedia.org/wiki/Puteaux,Hauts-de-Seine,—,Île-de-France,44002,44645,44514,43994,40780
169,69034,Caluire-et-Cuire,https://fr.wikipedia.org/wiki/Caluire-et-Cuire,Métropole de Lyon,—,Auvergne-Rhône-Alpes,43597,43187,42038,41010,41233
170,44143,Rezé,https://fr.wikipedia.org/wiki/Rezé,Loire-Atlantique,—,Pays de la Loire,43556,41411,39377,37846,35478
171,78361,Mantes-la-Jolie,https://fr.wikipedia.org/wiki/Mantes-la-Jolie,Yvelines,Sous-préfecture,Île-de-France,43526,44299,43515,42916,43672
172,59606,Valenciennes,https://fr.wikipedia.org/wiki/Valenciennes,Nord,Sous-préfecture,Hauts-de-France,43468,43336,42989,42670,41278
173,64024,Anglet,https://fr.wikipedia.org/wiki/Anglet,Pyrénées-Atlantiques,—,Nouvelle-Aquitaine,43271,38929,39223,37934,35263
174,93006,Bagnolet,https://fr.wikipedia.org/wiki/Bagnolet,Seine-Saint-Denis,—,Île-de-France,43086,35674,34920,34269,32511
175,69029,Bron,https://fr.wikipedia.org/wiki/Bron,Métropole de Lyon,—,Auvergne-Rhône-Alpes,42982,41543,39232,38833,37369
176,51108,Châlons-en-Champagne,https://fr.wikipedia.org/wiki/Châlons-en-Champagne,Marne,Préfecture,Grand Est,42971,44753,45225,45829,47339
177,36044,Châteauroux,https://fr.wikipedia.org/wiki/Châteauroux,Indre,Préfecture,Centre-Val de Loire,42963,43741,44960,47127,49632
178,62041,Arras,https://fr.wikipedia.org/wiki/Arras,Pas-de-Calais,Préfecture,Hauts-de-France,42875,41019,41239,42672,40590
179,57672,Thionville,https://fr.wikipedia.org/wiki/Thionville,Moselle,Sous-préfecture,Grand Est,42658,40701,41325,40910,40907
180,33550,Villenave-d'Ornon,https://fr.wikipedia.org/wiki/Villenave-d'Ornon,Gironde,—,Nouvelle-Aquitaine,42545,34090,29804,29339,27500
181,81065,Castres,https://fr.wikipedia.org/wiki/Castres,Tarn,—,Occitanie,42505,41636,41529,43347,43496
182,01053,Bourg-en-Bresse,https://fr.wikipedia.org/wiki/Bourg-en-Bresse,Ain,Préfecture,Auvergne-Rhône-Alpes,42372,41527,40171,40506,40666
183,74281,Thonon-les-Bains,https://fr.wikipedia.org/wiki/Thonon-les-Bains,Haute-Savoie,Sous-préfecture,Auvergne-Rhône-Alpes,42363,38716,38339,34936,31979
184,93032,Gagny,https://fr.wikipedia.org/wiki/Gagny,Seine-Saint-Denis,—,Île-de-France,42313,39358,39172,38220,36715
185,06030,Le Cannet,https://fr.wikipedia.org/wiki/Le_Cannet,Alpes-Maritimes,—,Provence-Alpes-Côte d'Azur,41938,41471,43115,42207,42158
186,16015,Angoulême,https://fr.wikipedia.org/wiki/Angoulême,Charente,Préfecture,Nouvelle-Aquitaine,41908,41740,42014,42669,43171
187,95268,Garges-lès-Gonesse,https://fr.wikipedia.org/wiki/Garges-lès-Gonesse,Val-d'Oise,—,Île-de-France,41791,42728,41001,39098,40058
188,93078,Villepinte,https://fr.wikipedia.org/wiki/Villepinte,Seine-Saint-Denis,—,Île-de-France,41470,36830,35820,35444,33782
189,93072,Stains,https://fr.wikipedia.org/wiki/Stains,Seine-Saint-Denis,—,Île-de-France,41388,38720,36155,34663,32839
190,05061,Gap,https://fr.wikipedia.org/wiki/Gap,Hautes-Alpes,Préfecture,Provence-Alpes-Côte d'Azur,41293,40895,40761,37785,36262
191,78498,Poissy,https://fr.wikipedia.org/wiki/Poissy,Yvelines,—,Île-de-France,40983,37388,37597,37109,35841
192,31149,Colomiers,https://fr.wikipedia.org/wiki/Colomiers,Haute-Garonne,—,Occitanie,40882,38951,36699,32315,28538
193,59650,Wattrelos,https://fr.wikipedia.org/wiki/Wattrelos,Nord,—,Hauts-de-France,40847,40958,41633,42077,42753
